City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,udachny,66.4167,112.4,-38.0,100,89,1.74,RU,1735863098
234,saurimo,-9.6608,20.3916,17.11,97,99,0.94,AO,1735863099
235,kuta,-8.7233,115.1723,26.97,89,40,2.06,ID,1735863102
236,kerman,30.2832,57.0788,-1.43,68,100,3.09,IR,1735863103
237,nar'yan-mar,67.6713,53.087,-8.48,93,100,5.08,RU,1735863104
238,ko pha ngan,9.7578,100.0291,24.08,69,100,4.06,TH,1735863105
239,postbauer-heng,49.3053,11.3572,-0.27,90,100,2.74,DE,1735863107
240,zinacatepec,18.3333,-97.25,19.04,71,97,3.16,MX,1735863108
241,gray,35.4167,-100.802,8.89,39,0,3.41,US,1735863109
242,al majaridah,19.1236,41.9111,23.46,49,0,0.54,SA,1735863110
243,saint-pierre,-21.3393,55.4781,23.82,69,0,2.06,RE,1735863111
244,taroa,8.7058,171.2275,27.81,77,64,7.73,MH,1735863112
245,fort bragg,35.139,-79.006,6.01,61,0,0.45,US,1735863113
246,am timan,11.0297,20.2827,20.29,19,70,2.99,TD,1735863115
247,karatau,43.1667,70.4667,-1.7,82,12,1.52,KZ,1735863116
248,hithadhoo,-0.6,73.0833,27.6,79,73,8.2,MV,1735863117
249,pokhara,28.2333,83.9833,10.63,43,60,1.69,NP,1735862914
250,santa ana,33.7456,-117.8678,24.09,40,0,2.06,US,1735863119
251,puerto deseado,-47.7503,-65.8938,14.18,87,19,4.66,AR,1735863112
252,susuman,62.7833,148.1667,-43.85,99,89,0.18,RU,1735863121
253,port saint john's,-31.6229,29.5448,22.49,90,69,3.35,ZA,1735863123
254,tamandare,-8.7597,-35.1047,25.64,82,2,3.8,BR,1735863124
255,san juanito,28.0,-107.5833,12.67,15,100,0.57,MX,1735863125
256,selfoss,63.9331,-20.9971,-3.35,92,98,0.93,IS,1735863126
257,sitka,57.0531,-135.33,2.94,48,40,4.12,US,1735863127
258,mil'kovo,55.6078,37.7956,2.97,97,100,6.69,RU,1735863128
259,at taj,24.2049,23.2857,12.16,25,0,3.37,LY,1735863129
260,chinde,26.8212,87.7095,13.46,74,5,2.41,NP,1735863131
261,maslyanino,54.3436,84.2111,-8.37,92,100,5.79,RU,1735863132
262,alice springs,-23.7,133.8833,32.75,10,0,5.66,AU,1735863133
263,langon,44.5,-0.3333,7.4,94,100,1.41,FR,1735863134
264,villa gesell,-37.2639,-56.973,16.8,62,27,9.2,AR,1735863135
265,hammerfest,70.6634,23.6821,-2.75,86,75,3.6,NO,1735863137
266,adrar,20.5022,-10.0711,11.44,24,0,5.22,MR,1735863138
267,prymors'k,46.7348,36.3443,5.88,83,0,7.27,UA,1735863139
268,khandyga,62.6667,135.6,-47.18,99,54,0.48,RU,1735863140
269,laojunmiao,39.8333,97.7333,-6.91,54,100,0.62,CN,1735863141
270,inhambane,-23.865,35.3833,26.89,88,33,3.49,MZ,1735863142
271,flying fish cove,-10.4217,105.6791,25.82,94,97,2.57,CX,1735863144
272,micheweni,-4.9667,39.8333,27.03,78,90,4.24,TZ,1735863145
273,san rafael,-34.6177,-68.3301,27.77,20,0,4.29,AR,1735863146
274,iola,37.9245,-95.4,8.09,61,100,2.57,US,1735863147
275,melfort,52.8667,-104.6177,-18.47,99,99,2.6,CA,1735863158
276,aykhal,66.0,111.5,-35.03,100,93,2.17,RU,1735863159
277,sakaiminato,35.55,133.2333,8.32,51,89,9.55,JP,1735863160
278,olds,51.7834,-114.102,-20.43,99,80,2.85,CA,1735862881
279,qusmuryn,52.4503,64.6311,1.58,94,100,11.04,KZ,1735863162
280,burao,9.5221,45.5336,16.26,55,21,6.26,SO,1735863164
281,taoudenni,22.6783,-3.9836,12.81,43,2,4.78,ML,1735863165
282,lompoc,34.6391,-120.4579,19.73,46,0,3.6,US,1735863166
283,al kharijah,25.4514,30.5464,12.11,36,4,3.66,EG,1735863167
284,badr hunayn,23.7829,38.7905,16.58,28,2,4.2,SA,1735863168
285,san pedro pochutla,15.7333,-96.4667,23.69,79,99,1.78,MX,1735863065
286,tegueste,28.5167,-16.3167,15.64,89,40,4.02,ES,1735863171
287,viedma,-40.8135,-62.9967,16.2,59,43,3.2,AR,1735863172
288,sao vicente,-23.9631,-46.3919,26.1,26,94,2.01,BR,1735863173
289,rio grande,-32.035,-52.0986,22.0,90,59,6.46,BR,1735863174
290,nowshahr,36.649,51.496,11.19,54,5,2.75,IR,1735863176
291,greymouth,-42.4667,171.2,18.68,65,52,2.89,NZ,1735863177
292,luderitz,-26.6481,15.1594,18.93,70,0,8.12,NA,1735863178
293,thinadhoo,0.5333,72.9333,27.0,79,77,5.43,MV,1735863179
294,itapirapua,-15.8233,-50.6133,22.2,94,96,0.31,BR,1735863180
295,yuzhno-sukhokumsk,44.6581,45.6436,5.89,58,0,2.71,RU,1735863182
296,karema,-6.8205,30.4389,22.21,83,99,1.51,TZ,1735863183
297,vilyuysk,63.7553,121.6247,-49.32,100,61,1.46,RU,1735863184
298,alta,69.9689,23.2717,-13.41,78,20,1.54,NO,1735863185
299,glen innes,-29.7333,151.7333,21.74,47,21,4.42,AU,1735863188
300,porto-vecchio,41.591,9.2795,12.81,88,75,8.23,FR,1735863189
301,ficarazzi,38.0897,13.4681,10.53,71,0,1.34,IT,1735863190
302,ewo,-0.8725,14.8206,24.94,40,23,1.55,CG,1735863191
303,labrador city,52.9463,-66.9114,0.1,97,100,5.81,CA,1735863193
304,crane,31.3974,-102.3501,14.96,21,0,1.77,US,1735863194
305,nova olinda do norte,-3.8881,-59.0942,23.45,99,100,0.75,BR,1735863195
306,hirara,24.8,125.2833,20.31,78,100,11.09,JP,1735863196
307,demopolis,32.5176,-87.8364,5.97,75,0,0.0,US,1735863197
308,lubango,-14.9172,13.4925,14.6,88,100,2.31,AO,1735863198
309,siwa oasis,29.2041,25.5195,12.28,59,67,3.22,EG,1735863200
310,nelson bay,-32.7167,152.15,24.44,67,100,4.47,AU,1735863201
311,argo,37.6333,22.7333,7.64,73,0,1.9,GR,1735863202
312,yuzhnoural'sk,54.4418,61.2536,2.16,85,100,7.76,RU,1735863204
313,hobyo,5.3505,48.5268,24.58,82,25,9.94,SO,1735863206
314,sidney,-33.8679,151.2073,23.17,70,75,2.57,AU,1735863207
315,kennett,36.2362,-90.0556,5.58,77,75,3.09,US,1735863210
316,gazli,40.1333,63.45,3.2,89,100,2.97,UZ,1735863211
317,kayangel,8.0823,134.7173,27.94,79,78,6.15,PW,1735863213
318,jayamkondacholapuram,11.2167,79.3667,19.62,83,98,3.6,IN,1735863214
319,mossel bay,-34.1831,22.146,20.09,82,9,1.81,ZA,1735863215
320,north bend,43.4065,-124.2243,13.98,94,100,4.63,US,1735863216
321,opuwo,-18.0607,13.84,21.25,34,99,1.23,NA,1735863217
322,richards bay,-28.783,32.0377,24.3,91,100,1.36,ZA,1735863218
323,ambovombe,-25.1667,46.0833,23.79,90,93,0.91,MG,1735863219
324,malanje,-9.5402,16.341,17.64,92,100,1.09,AO,1735863221
325,revda,56.801,59.9303,0.78,95,100,7.55,RU,1735863222
326,kainantu,-6.2887,145.8655,19.44,86,100,1.25,PG,1735863223
327,zelenodolsk,55.8438,48.5178,1.01,97,98,6.37,RU,1735863224
328,safaga,26.7292,33.9365,16.44,58,31,5.9,EG,1735863225
329,keflavik,64.0049,-22.5624,1.24,93,75,6.69,IS,1735863226
330,berdigestyakh,62.0989,126.6992,-51.69,100,63,1.14,RU,1735863227
331,tanout,14.9709,8.8879,18.64,16,52,4.32,NE,1735863229
332,horsham,51.064,-0.3272,-1.11,81,0,1.54,GB,1735863230
333,cidreira,-30.1811,-50.2056,23.16,83,54,5.0,BR,1735863231
334,bamboo flat,11.7,92.7167,24.77,77,32,4.08,IN,1735863232
335,howard springs,-12.497,131.047,30.95,86,73,2.04,AU,1735863233
336,shinkafi,13.0753,6.5105,21.7,18,25,4.59,NG,1735863234
337,isiro,2.7739,27.616,19.31,47,97,1.32,CD,1735863235
338,hagere maryam,5.6333,38.2333,13.06,41,92,0.82,ET,1735863237
339,luocheng,29.3848,104.0286,7.49,88,41,0.92,CN,1735863238
340,tame,6.461,-71.73,26.23,61,94,2.14,CO,1735863239
341,new norfolk,-42.7826,147.0587,20.4,30,55,1.16,AU,1735863047
342,melioratorov,57.2107,65.6077,-6.79,86,100,7.0,RU,1735863242
343,flin flon,54.7682,-101.865,-21.13,88,96,3.52,CA,1735863244
344,constantia,44.1833,28.65,2.61,65,24,4.23,RO,1735863245
345,necochea,-38.5473,-58.7368,15.21,73,47,7.61,AR,1735863246
346,manismata,-2.4667,111.0333,24.25,95,100,0.82,ID,1735863247
347,ryotsu-minato,38.0833,138.4333,0.35,83,100,2.42,JP,1735863248
348,xining,36.6167,101.7667,-9.18,70,100,1.86,CN,1735863249
349,portland,45.5234,-122.6762,6.76,95,100,4.02,US,1735862749
350,honiara,-9.4333,159.95,28.44,77,98,1.96,SB,1735863252
351,twentynine palms,34.1356,-116.0542,19.52,17,6,2.2,US,1735863253
352,bethanie,-26.4833,17.15,28.59,28,72,2.15,NA,1735863254
353,kruisfontein,-34.0033,24.7314,17.26,87,0,1.91,ZA,1735863255
354,hotan,37.0997,79.9269,-5.12,71,23,0.52,CN,1735863256
355,kununurra,-15.7667,128.7333,31.99,51,99,3.6,AU,1735863257
356,nava,28.4167,-100.7667,18.32,67,37,4.37,MX,1735863259
357,tsagan aman,47.5639,46.7218,3.84,83,0,6.71,RU,1735863260
358,jeju city,33.5097,126.5219,6.71,58,95,7.66,KR,1735863261
359,lorengau,-2.0226,147.2712,29.52,68,54,0.96,PG,1735863262
360,northam,51.0333,-4.2167,3.5,74,9,1.77,GB,1735863263
